iter	Passed	Remaining
527	759416	678871
528	760808	677393
529	762485	676165
530	763007	673918
531	764598	672616
532	765052	670318
533	766352	668764
534	766842	666507
535	768041	664871
536	769473	663438
537	770938	662032
538	772458	660674
539	772950	658439
540	774227	656876
541	775705	655485
542	776195	653262
543	777774	651958
544	779234	650553
545	779708	648328
546	781018	646803
547	782241	645206
548	783721	643822
549	785150	642396
550	786742	641102
551	788036	639565
552	789568	638222
553	791004	636801
554	792393	635342
555	793624	633757
556	794949	632249
557	796461	630888
558	797867	629444
559	799116	627877
560	800491	626409
561	801964	625018
562	803421	623615
563	805187	622449
564	806673	621067
565	807997	619559
566	809521	618205
567	810809	616671
568	812232	615241
569	813592	613763
570	815165	612444
571	816544	610981
572	817848	609461
573	819331	608075
574	820837	606705
575	822359	605347
576	823809	603936
577	825268	602531
578	826920	601266
579	828318	599816
580	829688	598346
581	831089	596899
582	832713	595611
583	834103	594156
584	835369	592612
585	836666	591092
586	837929	589548
587	839472	588201
588	840985	586833
589	842488	585458
590	843968	584065
591	845335	582596
592	845822	580522
593	846306	578452
594	847810	577081
595	849298	575699
596	849806	573654
597	851339	572305
598	852681	570826
599	854041	569361
600	854518	567309
601	855083	565320
602	856332	563787
603	856863	561784
604	857385	559780
605	858985	558482
606	860505	557131
607	862112	555835
608	863735	554549
609	865082	553085
610	865603	551095
611	866087	549088
612	866572	547085
613	868030	545699
614	869307	544200
615	870706	542777
616	872117	541363
617	873375	539853
618	873884	537883
619	875125	536367
620	876551	534964
621	877883	533504
622	879204	532038
623	880364	530475
624	881574	528944
625	883101	527603
626	884386	526118
627	885903	524770
628	887325	523366
629	888899	522052
630	890246	520603
631	891620	519171
632	893165	517838
633	894402	516326
634	895938	514988
635	897425	513621
636	898956	512278
637	900143	510739
638	901333	509204
639	902527	507671
640	903752	506158
641	905281	504814
642	906481	503287
643	907872	501867
644	909082	500348
645	910255	498808
646	911808	497477
647	913331	496130
648	914584	494636
649	915940	493198
650	917164	491690
651	918542	490264
652	919865	488810
653	921437	487488
654	922932	486124
655	924389	484741
656	925709	483285
657	926963	481795
658	928275	480337
659	929475	478820
660	930913	477427
661	932151	475932
662	933682	474586
663	934891	473077
664	936236	471637
665	937458	470137
666	939039	468815
667	940429	467399
668	941813	465979
669	943062	464493
670	944382	463042
671	946321	461895
672	947916	460577
673	949288	459151
674	950976	457877
675	952340	456447
676	953757	455042
677	955188	453643
678	956440	452161
679	957890	450772
680	959286	449357
681	960459	447839
682	961688	446347
683	963037	444911
684	964686	443615
685	965995	442161
686	967457	440777
687	968715	439301
688	970289	437968
689	971785	436599
690	973253	435217
691	974207	433606
692	975789	432276
693	977053	430804
694	978340	429343
695	979583	427864
696	980999	426460
697	982197	424962
698	983438	423483
699	984574	421960
700	986272	420678
701	987814	419328
702	989001	417828
703	990325	416386
704	991963	415076
705	993457	413706
706	995030	412367
707	996217	410869
708	997637	409467
709	998987	408036
710	1000187	406545
711	1001564	405127
712	1003140	403788
713	1004308	402286
714	1005764	400899
715	1007074	399454
716	1008318	397983
717	1009642	396544
718	1010978	395111
719	1012200	393633
720	1013495	392184
721	1014752	390721
722	1015870	389206
723	1017456	387870
724	1019123	386564
725	1020208	385037
726	1021417	383558
727	1023010	382223
728	1024535	380863
729	1025755	379389
730	1027010	377928
731	1027548	376206
732	1029183	374886
733	1030805	373561
734	1032451	372244
735	1034069	370916
736	1034784	369265
737	1035986	367789
738	1037638	366472
739	1038829	364994
740	1040440	363662
741	1041858	362263
742	1043336	360885
743	1044668	359455
744	1045932	358003
745	1047348	356604
746	1048632	355159
747	1049864	353697
748	1051068	352227
749	1052411	350803
750	1053448	349279
751	1054770	347849
752	1056334	346500
753	1057883	345144
754	1059190	343710
755	1060706	342344
756	1061994	340904
757	1063264	339459
758	1064735	338078
759	1066031	336641
760	1067261	335184
761	1068767	333814
762	1070183	332416
763	1071506	330989
764	1072867	329573
765	1074460	328229
766	1075738	326788
767	1077198	325403
768	1078769	324051
769	1080061	322615
770	1081318	321169
771	1082554	319718
772	1083835	318280
773	1085078	316831
774	1086294	315375
775	1087497	313916
776	1088828	312495
777	1090162	311074
778	1091807	309742
779	1093164	308328
780	1094769	306983
781	1096312	305621
782	1097651	304202
783	1099017	302790
784	1100346	301368
785	1101770	299973
786	1103050	298538
787	1104480	297144
788	1105728	295701
789	1107067	294283
790	1108442	292875
791	1109743	291447
792	1110996	290007
793	1112274	288575
794	1113526	287135
795	1115060	285769
796	1116298	284326
797	1117613	282904
798	1118783	281446
799	1120067	280016
800	1121321	278580
801	1122563	277141
802	1124102	275776
803	1125409	274353
804	1126920	272980
805	1128233	271559
806	1129745	270186
807	1131406	268849
808	1132862	267462
809	1134174	266041
810	1135539	264632
811	1136901	263223
812	1138105	261778
813	1138909	260242
814	1140136	258803
815	1141487	257394
816	1142864	255990
817	1144127	254561
818	1145369	253128
819	1146647	251703
820	1148042	250304
821	1149264	248867
822	1150557	247446
823	1151063	245858
824	1152306	244428
825	1153682	243027
826	1154983	241610
827	1156431	240224
828	1157751	238812
829	1158289	237239
830	1159661	235839
831	1161024	234437
832	1162529	233064
833	1163997	231682
834	1165269	230262
835	1166620	228858
836	1167965	227453
837	1169292	226044
838	1170672	224646
839	1171955	223229
840	1173293	221823
841	1173874	220275
842	1175321	218891
843	1176786	217510
844	1178026	216087
845	1179276	214667
846	1180684	213276
847	1182044	211875
848	1183346	210465
849	1184641	209054
850	1185954	207646
851	1187263	206238
852	1188612	204837
853	1189113	203291
854	1189641	201752
855	1190200	200220
856	1191562	198825
857	1192909	197427
858	1194175	196017
859	1194730	194490
860	1195219	192956
861	1196495	191550
862	1197008	190023
863	1198284	188618
864	1199538	187211
865	1200872	185816
866	1201387	184295
867	1202769	182909
868	1204035	181505
869	1205263	180096
870	1206593	178703
871	1207093	177188
872	1208470	175802
873	1209781	174407
874	1211085	173012
875	1212328	171608
876	1213664	170217
877	1214203	168716
878	1215481	167318
879	1216003	165818
880	1217385	164436
881	1217910	162940
882	1219247	161553
883	1220659	160177
884	1221206	158687
885	1222797	157335
886	1224292	155969
887	1225590	154578
888	1226838	153182
889	1228142	151792
890	1229495	150409
891	1230783	149018
892	1232065	147627
893	1233371	146238
894	1234764	144860
895	1236047	143469
896	1237299	142075
897	1238583	140685
898	1239060	139204
899	1240436	137826
900	1241764	136442
901	1243052	135054
902	1244383	133671
903	1245680	132284
904	1246477	130845
905	1247881	129471
906	1249284	128096
907	1250537	126706
908	1251879	125325
909	1253275	123950
910	1254613	122569
911	1255850	121178
912	1257383	119816
913	1258680	118431
914	1259924	117042
915	1261318	115666
916	1261831	114211
917	1263205	112835
918	1263716	111383
919	1264990	109999
920	1266260	108615
921	1267562	107234
922	1268927	105858
923	1270223	104477
924	1271577	103100
925	1272921	101723
926	1274167	100338
927	1274652	98895
928	1276023	97521
929	1277351	96144
930	1278581	94760
931	1279843	93379
932	1281143	92000
933	1282436	90621
934	1282952	89189
935	1284252	87812
936	1285710	86445
937	1286255	85019
938	1287674	83650
939	1289111	82283
940	1290523	80914
941	1291990	79549
942	1293265	78171
943	1294651	76801
944	1295937	75424
945	1297302	74053
946	1298492	72671
947	1299813	71297
948	1301112	69922
949	1302335	68543
950	1303689	67172
951	1304994	65798
952	1306372	64427
953	1307660	63052
954	1309121	61686
955	1310471	60314
956	1311719	58938
957	1313085	57567
958	1314464	56197
959	1315950	54831
960	1317248	53457
961	1318552	52084
962	1319802	50708
963	1321101	49335
964	1322337	47960
965	1322797	46558
966	1324196	45189
967	1325496	43818
968	1326598	42440
969	1327610	41060
970	1328881	39688
971	1330195	38318
972	1331509	36948
973	1332183	35561
974	1333498	34192
975	1334890	32825
976	1336183	31455
977	1337524	30087
978	1338928	28720
979	1340353	27354
980	1341873	25989
981	1343189	24620
982	1344480	23251
983	1345909	21884
984	1347244	20516
985	1348997	19154
986	1350429	17786
987	1351775	16418
988	1353207	15050
989	1354583	13682
990	1355948	12314
991	1357310	10946
992	1358647	9577
993	1359865	8208
994	1361221	6840
995	1362464	5471
996	1363795	4103
997	1364807	2735
998	1366070	1367
999	1367384	0
