iter	Logloss
0	0.4421090947
1	0.3047451579
2	0.2553078561
3	0.2063798008
4	0.1805817883
5	0.1641545176
6	0.1538363624
7	0.1448995917
8	0.1370487986
9	0.1317375376
10	0.1268512884
11	0.1217782356
12	0.1148282209
13	0.1134235426
14	0.1104556609
15	0.1081799544
16	0.1038827439
17	0.1021822228
18	0.1003207587
19	0.09827255512
20	0.09766279012
21	0.09704407272
22	0.09530089779
23	0.09415459956
24	0.09313391858
25	0.09298604209
26	0.0921095626
27	0.09093619265
28	0.0895283945
29	0.08875614184
30	0.08684626422
31	0.08653590599
32	0.08549102651
33	0.08487328202
34	0.07943220353
35	0.07873768578
36	0.07873768256
37	0.07704536318
38	0.07658363171
39	0.07634542829
40	0.07474321735
41	0.07254483523
42	0.07107939736
43	0.07034862866
44	0.07007030554
45	0.06868926452
46	0.06812442177
47	0.06810641362
48	0.06784646685
49	0.06771656338
50	0.06743701848
51	0.06712024634
52	0.06662141938
53	0.06654395593
54	0.06635725874
55	0.06623136696
56	0.06212439831
57	0.06149587864
58	0.06149587093
59	0.06029412584
60	0.05977523287
61	0.05965688356
62	0.05944554805
63	0.05872078115
64	0.05861499324
65	0.05838125843
66	0.05815405216
67	0.05795693808
68	0.05761435718
69	0.0567936443
70	0.05661420793
71	0.0563658924
72	0.05594332203
73	0.05455991493
74	0.05425109195
75	0.05384509128
76	0.05184028106
77	0.05067539491
78	0.04949324344
79	0.04823202828
80	0.04774874194
81	0.04740600368
82	0.04716810379
83	0.04711170082
84	0.04653197472
85	0.04561482655
86	0.04514344315
87	0.04469706786
88	0.04404012241
89	0.04377646323
90	0.04338767592
91	0.04229076441
92	0.04202470862
93	0.04181430927
94	0.04162278785
95	0.04130602444
96	0.03977265758
97	0.03950620428
98	0.03931224255
99	0.03877289418
100	0.03838676294
101	0.03812036359
102	0.03786937683
103	0.03760277987
104	0.03739894659
105	0.03728577096
106	0.0370480685
107	0.03670597254
108	0.03653111167
109	0.03621353562
110	0.03599090216
111	0.03565340293
112	0.03527009506
113	0.03494990117
114	0.0347328096
115	0.03458845677
116	0.03437927447
117	0.03402507648
118	0.03379570828
119	0.03302950211
120	0.0328999841
121	0.03274904892
122	0.03253620994
123	0.03232504288
124	0.03222797851
125	0.03204609569
126	0.03168207512
127	0.03142030247
128	0.03117262465
129	0.03092777529
130	0.03063449777
131	0.03029306569
132	0.03014506339
133	0.02996334603
134	0.02978866002
135	0.02945551751
136	0.02880718373
137	0.02867050506
138	0.02857523444
139	0.02845331621
140	0.02827961956
141	0.02813061145
142	0.02789514872
143	0.02768112897
144	0.02730142789
145	0.02697856272
146	0.0268595459
147	0.02680293211
148	0.02664848545
149	0.02645908963
150	0.02626163923
151	0.02606559208
152	0.02583285559
153	0.02564642017
154	0.02555763656
155	0.02548230872
